,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
59,37.36,20694231.77,461604.29,1483881.97,461604.29,18.25,3,1,1,18,1
60,39.7,21986606.76,-250555.19,-1961573.555,-250555.19,5.75,3,0,1,18,1
61,247.52,137097736.6,3033282.54,561464.295,3033282.54,3.75,3,1,1,18,1
62,0.31,22502.97,-95727.77,855.73,40.81,6.17,3,0,1,21,1
63,3.51,858846.93,-20048.66,222409.2633,31.93,7.42,3,-2,1,-4,1
64,13.35,1877763.05,57939.72,23670.425,-56.8,6.92,3,1,1,17,1
65,2.03,496587.92,-71053.5,5485.21,113.16,5.25,-1,1,-3,15,1
66,169.72,17260946.61,48916.73,91305.905,-58.99,4.17,3,1,1,17,1
67,2.5,612751.73,-547441.81,280.54,871.85,7.33,3,1,1,21,1
68,3.49,683385.24,-9081.32,1600.695,6.24,4.33,3,0,1,15,1
69,2.53,1008110.5,-5668.43,5335.14,9.45,6.08,3,0,1,14,1
70,2.27,445132.73,-143349.06,8762.805,98.46,5.58,3,0,1,16,1
71,8.53,2089805.98,-121836.4,0,194.04,5.83,3,0,1,18,1
72,5.43,304535.59,10201.1,0,-5.1,5.08,3,0,1,21,1
73,82.82,8423604.29,20202035.9,1452204.675,-24361.82,4.83,3,1,1,18,1
74,47.17,9247727.35,278203.18,517102.285,-191.08,6.92,3,1,1,17,1
75,17.24,3378895.93,-382106.05,68142.845,262.44,6,3,1,1,17,1
76,53.74,7561876.69,-4906.67,29868.885,4.81,14.42,3,1,1,17,1
77,108.17,9882012.4,19823.38,29723.88,-18.8,16.17,-1,1,-3,17,1
78,13.54,759104.81,41520.05,2225.86,-20.76,2.58,3,0,1,15,0
79,82.82,8423604.29,20202035.9,1452204.675,-24361.82,4.83,3,1,1,18,1
80,47.17,9247727.35,278203.18,517102.285,-191.08,6.92,3,1,1,17,1
81,4.59,900066.42,150021.73,6587.475,-103.04,5.42,3,0,1,18,1
82,45.97,9011857.6,1717235.83,216490.865,-1179.45,2.25,3,1,1,18,0
83,480.93,46028790.25,12608118.49,1394609.705,-12608.12,11.25,3,1,1,18,1
84,149.78,36684262.98,1377031.99,0,-2193.06,3.67,3,0,1,21,0
85,49665.86162,16523791.02,-713447.89,0,860.35,10.08,3,0,1,22,1
86,18.59,10296755.64,-6497495.11,0,-6497495.11,2.08,3,0,1,14,0
87,0.14,78300,4992.27,222409.2633,4992.27,1.58,3,-2,1,-4,0
88,1.6,146266.19,6470.67,222409.2633,-6.14,1.67,3,-2,1,-4,0
89,28.21,6909852.63,52551.06,222409.2633,-83.69,1.17,3,-2,1,-4,0
90,1398.42,142226131.3,-4902364.2,4091538.405,5911.8,3.75,3,1,1,16,1
91,49665.86162,16523791.02,-32582.1,0,51.89,1,3,0,1,11,0
92,0.85,86633.7,-52314.46,222409.2633,63.09,2.08,3,-2,1,-4,0
93,26.56,2701653.28,413811.09,7120.515,-499.02,12.33,3,0,1,24,1
94,4.51,884716.81,-67068.05,4032.495,46.06,1.17,3,0,1,12,0
95,212.44,52031529.09,4982341.38,2796551.755,-7934.86,21.17,3,1,1,18,0
96,8,1959780.17,4883.51,222409.2633,-7.78,1.17,3,-2,1,-4,0
97,1.47,359994.29,-120961.21,0,192.64,2.67,-1,0,-3,9,0
98,10.23,979486.4,276679.17,23945.64,-276.68,4.17,-1,0,-3,21,0
99,0.37,72013.71,-126027.89,222409.2633,86.56,1.33,3,-2,1,-4,0
100,15.97,2246996.16,-421938.36,222409.2633,413.67,1.92,3,-2,1,-4,0
101,7.55,768266.33,-18465.13,17799.695,22.27,2.67,3,0,1,21,0
102,2.13,878305.68,-168246.14,11897.745,-168246.14,6,-1,1,-3,16,1
103,5.69,578683.56,4410.5,9790.81,-5.32,3.58,3,1,1,20,0
104,0.24,59009.9,6294,0,-10.02,6.42,-1,0,-3,21,1
105,20.29,160356.44,-44480.81,0,12.61,2.92,3,0,1,21,0
106,5.54,2208184.14,41366.31,20144.145,-68.94,3.75,-1,0,-3,15,1
107,2.25,228391.1,12095.44,80.68,-14.59,3.58,-1,0,-3,15,0
108,0.58,142200,15909,0,-25.34,5.83,3,0,1,21,1
109,0.52,285900,7114.25,0,7114.25,4.17,3,0,1,21,1
110,0.37,91752.48,-455.3,0,0.73,5.42,3,0,1,21,1
111,1.31,119902.91,-2350.24,45293.45,2.23,3.75,3,0,1,18,0
112,997.87,6805441.71,2195923.6,21075.145,2195923.6,7.58,3,0,1,21,1
113,8.12,1988908.9,-1.5,28803.77,10191.70409,3.25,-1,0,-3,15,0
114,7.78,436205.65,18881.1,0,-9.44,4.25,3,0,1,33,0
115,0.56,221786.14,2604,222409.2633,-4.34,2.08,3,-2,1,-4,0
116,49665.86162,16523791.02,829048.9088,0,10191.70409,9.25,3,0,1,44,1
117,11.15,2731858.41,-11429.21,452650.815,18.2,2.75,3,0,1,21,0
118,0.16,30693.07,-52548.16,0,36.09,4.67,3,0,1,21,1
119,1.58,88411.47,-378288.5,224.26,189.14,2.5,3,0,1,18,0
120,12594.28,2468976792,62719644.24,-2472005.85,-43077.86,10.5,3,1,1,18,0
121,0.1,9900.99,-142587.98,222409.2633,171.95,3.83,3,-2,1,-4,0
122,35.71,3632195.57,76425.19,222409.2633,-92.16,1.67,3,-2,1,-4,0
123,0.25,60924.29,-4184.3,23603.41,6.66,17.33,3,1,1,20,1
124,113998.24,113998.24,-1442553.46,1609.89,-1442553.46,3.17,3,0,1,18,0
125,3.82,748764.75,15278.26,1310.68,-10.49,1.17,-1,1,-3,11,0
126,49665.86162,16523791.02,-86073.05,0,43.04,6.58,3,0,1,11,1
127,1.78,710886.95,-88689.4,14901.845,147.82,5,3,0,1,18,1
128,0.32,78603.83,-5782.17,0,9.21,5.67,-1,0,-3,36,1
129,353.86,35989344.48,2779110.01,1417818.565,-3351.35,9.25,3,1,1,16,1
130,8.01,814900.99,-26094.89,1051.98,31.47,1.67,3,0,1,16,0
131,0.87,88979.39,-3790.91,222409.2633,4.57,0.83,3,-2,1,-4,0
132,49665.86162,565.49,-73003.62,0,116.27,2.08,3,0,1,10,0
133,0.23,22970.3,-1508.02,222409.2633,1.82,1.25,3,-2,1,-4,0
134,14.53,3558187.45,-17966.17,24839.36,28.61,5.08,3,1,1,21,1
135,22.8,5584576.74,179606.37,57358.645,-286.04,2.08,-1,1,-3,16,0
136,51.87,2908105.5,57673.98,14385.475,-28.84,2.58,3,0,1,21,0
137,56.09,382509.47,-60344.32,4518.93,-60344.32,6.25,-1,1,-3,20,0
138,0.28,15594.06,-410587.81,222409.2633,205.29,2.5,3,-2,1,-4,0
139,0.37,90999.98,35.25,86.6,-0.06,1.83,3,1,1,12,0
140,9741031.83,9741031.83,349500.32,6139.725,349500.32,2.67,-1,1,-3,15,0
141,49665.86162,16523791.02,-61355.18,0,73.99,2.42,3,0,1,27,0
142,32.36,6344216.66,7549.99,7874.55,-5.19,4,3,1,1,15,1
143,10.75,212854.49,-59074.02,222409.2633,13.13,1.92,3,-2,1,-4,0
144,473.94,66687507.79,11280331.43,751530.935,-11059.15,9.58,3,1,1,18,1
145,0.15,36553.98,-309522.06,204608.33,492.94,16,3,0,1,21,1
146,8.36,1176870.96,-1416.75,0,1.39,5.08,3,0,1,45,1
147,6.43,905445.54,40474.08,1485.15,-39.68,7,3,1,1,10,1
148,13.83,3387247.45,-89234.47,25186.035,142.11,10,3,0,1,26,1
149,0.75,105975.22,-20343.13,2511.475,19.94,4.5,-1,1,-3,16,1
150,49665.86162,460.18,44739.61,14100.355,-43.86,16.83,3,0,1,15,1
151,1.05,148394.49,-23645.4,0,23.18,9.75,3,0,1,18,1
152,182.18,100907442.1,13501.5,1537970.145,13501.5,6.67,3,1,1,18,1
153,0.47,259734.52,-26022.41,17750.495,-26022.41,4.75,3,0,1,21,1
154,172.05,33728449.05,640079.98,62363.23,-439.63,4.67,3,1,1,21,1
155,17.67,4327293.78,152858.72,4136.545,-243.44,4.25,3,0,1,15,1
156,3.44,843368.37,-253813.94,55413.12,404.22,22.5,3,1,1,17,1
157,17.48,6971047.52,112021.05,121380.675,-186.7,24,3,1,1,17,1
158,2.35,1302212.38,-54171.43,4117.15,-54171.43,8.83,3,0,1,16,1
159,6.89,3814950.83,97831.91,15896.625,97831.91,7.75,3,1,1,16,1
160,4.52,2504551.74,88354.94,18201.53,88354.94,4.75,3,0,1,21,1
161,72.22,14157539.88,2823316.86,1254494.62,-1939.14,27.67,3,1,1,17,1
162,173.78,96253317.83,2360764.76,344487.17,2360764.76,5.75,3,1,1,21,1
163,27.31,6689669.08,8154.88,179265.85,-12.99,14.25,3,1,1,18,1
164,3.47,850884.62,-704.24,6121.105,1.12,4.25,3,1,1,17,1
165,5.58,567345.63,6447.51,2372.455,-7.78,6.17,3,1,1,21,1
166,0.27,15006.34,-270922.36,0,135.46,4.33,3,0,1,34,1
167,4.03,567247.52,18747.08,0,-18.38,3.92,-1,0,-3,21,1
168,13.72,3359644.32,-227595.43,14032.88,362.47,5.42,3,1,1,15,1
169,5.7,2274509.5,47884.46,1614.73,-79.81,4.25,3,0,1,21,1
170,93.32,9490654.64,749700.94,213958.435,-904.07,6.75,3,1,1,21,1
171,33.08,4655030.77,134699.5,19105.615,-132.06,10.92,3,0,1,14,1
172,96.4,23610220.62,170184.6,57150.86,-271.04,7.08,3,1,1,21,1
173,11.42,1161908.12,56529,5255.285,-68.17,12.58,3,0,1,45,1
174,0.66,66707.51,15330.6,173.32,-18.49,6.5,3,1,1,14,1
175,1.92,194877.73,10841.02,0,-13.07,9.92,-1,0,-3,18,1
176,135.56,33201449.74,-23650,146339.03,37.66,10.75,3,1,1,17,1
177,94.82,13341305.52,95003.22,235093.035,-93.14,18.17,3,1,1,21,1
178,6.84,1674996.49,-33989.1,84261.91,54.13,5.17,3,1,1,16,1
179,2.63,514939.81,33019.77,2259.06,-22.68,5.58,3,0,1,17,1
180,7.25,1775212.82,33683.59,9381.245,-53.64,6.83,3,1,1,17,1
181,18,3528062.87,-558472.15,24606.845,383.58,4,3,1,1,17,1
182,1.78,348373.41,4053.65,1400.97,-2.78,7.83,3,0,1,21,1
183,1.64,166923.44,-11377.67,560.315,13.72,6.67,3,0,1,21,1
184,2.26,553861.54,-53993.95,16193.33,85.99,4.42,3,1,1,17,1
185,1.97,483037.15,-136253.81,0,217,9.75,3,0,1,33,1
186,16.88,3308211.81,59110.11,14857.545,-40.6,4.67,3,0,1,15,1
187,17.8,3490038.09,88853.82,64356.925,-61.03,7.42,3,0,1,21,1
188,2.67,271579.65,-22864.02,462.795,27.57,6.58,3,0,1,13,1
189,117.28,16502419.25,-269302.45,65472.485,264.02,4.92,3,1,1,18,1
190,6.11,620936.79,-18770.77,25100.115,22.64,4.5,3,0,1,21,1
191,23.6,2400120.69,-47772.81,0,57.61,18.92,3,0,1,33,1
192,212.52,21614351.72,-1173381.91,87925.545,1414.99,5.5,3,1,1,21,1
193,161.67,39597817.1,237586.9,62451.49,-378.38,5.67,3,1,1,17,1
194,5.38,1317518.61,-15643.74,0,24.91,6.92,-1,0,-3,21,1
195,108.94,11079809.22,1922445.78,650304.435,-2318.29,16.25,3,1,1,17,1
196,39.33,5533900.96,-135099.5,193511.25,132.45,5.58,3,1,1,16,1
197,3.03,308575.73,-1162.54,43.69,1.4,4.75,3,0,1,21,1
198,2.64,517438.97,-58639.03,4033.39,40.28,6,3,0,1,21,1
199,4.08,999569.39,19249.93,10683.035,-30.66,5,3,0,1,18,1
200,3.53,254174.77,16041.32,0,-6.84,5.75,3,0,1,33,1
201,1.77,99009.9,8467.42,0,-4.23,6.08,3,0,1,21,1
202,30.48,5975127.67,81747.25,9796.05,-56.15,5,3,1,1,17,1
203,1.78,250031.19,30998.68,5672.33,-30.39,6.42,3,0,1,21,1
204,3.51,687663.36,-518350.99,148.515,356.02,5.17,3,0,1,13,1
205,7.92,805038.21,-7403.01,4321.35,8.93,10.25,3,0,1,21,1
206,102.17,20029766.89,88751.36,117828.535,-60.96,8.75,3,1,1,17,1
207,9.64,1890565.99,-66240.38,0,45.5,5.75,-1,0,-3,29,1
208,14.58,3570550.23,-25714.11,13786.82,40.95,5,3,0,1,21,1
209,0.5,199819.19,-199996.37,5917.1,333.33,7.42,3,0,1,18,1
210,14.98,2107226.55,-121234.68,13476.54,118.86,5.58,3,1,1,17,1
211,9.5,909444.66,-249613.28,31514.215,249.61,10,3,0,1,17,1
212,4.58,644079.21,63721.02,5681.525,-62.47,6.25,-1,0,-3,29,1
213,402.52,98588819.4,301547.87,393320.845,-480.24,4.67,3,1,1,21,1
214,18.38,4501782.14,-61524.12,17599.015,97.98,4.08,3,0,1,15,1
215,46.81,11466122.25,144466.5,47652.7,-230.08,6.08,3,1,1,17,1
216,13.05,5373179.62,916987.94,349296.35,916987.94,10.92,3,1,1,17,1
217,12.89,3156055.98,-235157.14,21607.725,374.51,5.5,3,0,1,18,1
218,9.93,2431261.25,-5190.82,60591.41,8.27,9,3,1,1,17,1
219,6.89,1687000.85,35149.38,48860.5,-55.98,7.33,3,1,1,21,1
220,6.23,633638.66,-274419.85,0,330.93,7.17,3,0,1,33,1
221,0.71,284466.02,-28870.62,0,48.12,18.33,3,0,1,18,1
222,45.79,11214172.32,142800.55,103739.09,-227.42,12,3,1,1,17,1
223,14.1,3454253.54,-23283.46,4687.86,37.08,6.17,3,1,1,21,1
224,1.13,103069.3,-99095.6,972.775,93.99,5.92,3,0,1,15,1
225,8.39,2055062.93,-385275.97,33286.005,613.59,6.75,3,0,1,15,1
226,11.41,2794277.1,-5554.57,1220.465,8.85,7,-1,0,-3,21,1
227,1330.31,135298751.1,-1237584.71,176667.4,1492.41,6.75,3,1,1,17,1
228,11.79,4700197.98,-11202.59,41318.935,18.67,4.42,3,0,1,21,1
229,15.39,3770018.89,74760.48,33735.815,-119.06,20.42,3,1,1,17,1
230,85.03,4766975.29,20998.47,91.66,-10.5,7.08,3,0,1,21,1
231,2.58,262858.7,-23952.12,0,28.88,9.83,3,0,1,36,1
232,3.09,313861.38,-281383.25,0,339.32,8.42,3,0,1,23,1
233,609.15,119418336.8,1211509.84,3910384.535,-832.1,16,3,1,1,18,1
234,60.53,11985634.58,-727025.99,320466.445,1109.89,21.25,3,0,1,17,1
235,4.26,834688.64,-900,3115.645,0.62,5.42,3,1,1,17,1
236,44.96,4572979.82,-4184.23,25739.555,5.05,5.33,3,0,1,21,1
237,0.14,7990.29,-36157.81,2184.47,18.08,6.25,3,0,1,28,1
238,63.86,15641084.18,94613.04,614770.73,-150.68,5.75,3,1,1,21,1
239,9.78,2394817.6,91098.69,8726.625,-145.08,3.83,3,0,1,18,1
240,2145.39,218196271,923918.41,71087.56,-1114.16,4.75,3,1,1,18,1
241,3.99,561807.09,-280882.34,1989.805,275.37,4.5,3,0,1,18,1
242,22.49,2054455.43,-17042.93,9900.99,16.16,4.83,3,0,1,15,1
243,4.45,1774725.82,29443.39,34110.89,-49.07,7.17,3,0,1,18,1
244,11.8,1660839.62,112018.98,60643.605,-109.82,6.33,3,1,1,17,1
245,10.11,566584.2,593.45,461.215,-0.3,4.67,3,0,1,12,1
246,3.54,255139.97,-436159.02,527.185,185.96,6.5,3,0,1,24,1
247,14.19,795433.02,-6771.51,1804.52,3.39,6,3,1,1,16,1
248,6470001.97,6470001.97,-469.81,91972.785,-469.81,11,3,0,1,21,1
249,16.32,1659562.23,444416.13,6284.505,-535.93,2.83,3,0,1,21,0
250,10.95,4365476.74,17336.21,53856.435,-28.89,7.25,3,0,1,15,1
251,19.99,4895729.19,44419.59,261020.295,-70.74,5.33,-1,1,-3,21,1
252,3.99,561373.14,-28532.45,1068.375,27.97,6.17,3,1,1,14,1
253,9.35,950495.04,147684.85,0,-178.09,3.83,3,0,1,18,1
254,15.94,3905344.55,50427.42,66282.375,-80.31,4.33,3,0,1,21,1
255,1.53,611311.38,304251.33,24346.615,-507.09,5.67,3,1,1,17,1
256,142.73,34957491.67,40973.73,8039.56,-65.25,4.83,3,1,1,17,1
257,3.19,780680.68,-9616.2,74463.225,15.31,6.42,3,1,1,20,1
258,63.73,25413388.76,1417498.4,78156.44,-2362.5,7.75,3,0,1,16,1
259,35.21,14038488.63,-1108158.16,236233.01,1846.93,10.42,3,1,1,18,1
260,45.71,11196103.01,3105469.6,297283.5,-4945.76,7.92,3,1,1,17,1
261,202.81,20626576.15,235739.08,659940.78,-284.28,6.33,3,1,1,18,1
262,34.89,8545086.6,817717.76,105519.99,-1302.3,5.67,3,1,1,17,1
263,26.21,10452015.35,-2139346.6,14436.81,3565.58,10.33,3,0,1,21,1
264,6.12,3389153.08,32140.99,14299.35,32140.99,4.92,3,1,1,16,1
265,55.61,7825372.75,-55209.89,14189.03,54.13,6.67,3,1,1,17,1
266,3.54,693314.38,218900.8,49267.545,-150.35,6.83,3,1,1,18,1
267,48.05,9420620.67,708465.37,71062.075,-486.6,3,3,1,1,17,0
268,52.83,12939649.39,-3360890.41,163426.99,5352.55,3.83,3,1,1,15,0
269,94.82,13341305.52,95003.22,235093.035,-93.14,18.17,3,1,1,21,1
270,579.13,113532918.8,25725250.45,6489883.915,-17668.93,11.17,3,1,1,17,0
271,56.95,8012879.19,269471.55,59615.5,-264.19,4,3,1,1,17,0
272,3.85,943171.65,-10575.85,2883.58,16.84,4.67,3,0,1,21,0
273,0.53,295049.5,4413.95,222409.2633,4413.95,1.83,3,-2,1,-4,0
274,2.56,1415858.43,150640.74,82.61,150640.74,2.83,-1,0,-3,18,0
275,10.13,1030383.98,127828.97,0,-154.15,4.17,3,0,1,18,0
276,31.73,3226812.99,-283567.08,42077.29,341.96,5.33,3,0,1,21,1
277,2.85,290296.61,296.61,222409.2633,-0.36,1.25,3,-2,1,-4,0
278,87.01,34697267.91,-10078919.78,522355.355,16798.2,4.42,3,1,1,18,0
279,1.59,89108.91,11735.05,1779.145,-5.87,1.75,3,0,1,21,0
280,49665.86162,16523791.02,-59296.62,10.195,98.83,10.25,3,0,1,30,1
281,6.72,2679154.11,-5094.51,37074.785,8.49,2.58,3,1,1,21,0
282,7.36,1802660.71,9700.82,747.6,-15.45,3.58,-1,0,-3,18,0
283,49665.86162,16523791.02,-439708.32,0,530.25,2.08,3,0,1,15,0
284,1.44,282026.35,-1049679.53,607.785,720.95,4.33,3,1,1,10,1
285,0.08,34214.82,-19655.59,0,-19655.59,5,-1,0,-3,14,1
286,14.15,2773535.09,-715213.98,5096.62,491.23,1.17,3,0,1,13,0
287,200.88,49201999.79,277378.84,27055.86,-441.75,4.08,3,1,1,17,0
288,90.04,35902911.23,259079.62,416883.31,-431.8,6.17,3,1,1,16,1
289,49665.86162,495.05,-31575.12,2.475,52.63,1.83,-1,0,-3,12,0
290,10.07,5579329.76,-299223.5,179351.785,-299223.5,24.75,3,1,1,20,1
291,8.2,3375601.04,-264595.14,681.595,-264595.14,2.75,3,0,1,17,0
292,0.01,884.96,-40115.09,57.52,48.38,1.67,-1,0,-3,15,0
293,3.16,444877.2,-215552.94,6189.415,211.33,1.92,-1,0,-3,14,0
294,49665.86162,16523791.02,829048.9088,0,10191.70409,16.58,3,0,1,41,1
295,49665.86162,16523791.02,-101692.68,0,161.96,16.83,3,0,1,42,1
296,9.77,994106.79,-37173.79,15887.19,44.83,12.5,-1,0,-3,18,1
297,34.13,8358798.62,28028.09,91832.915,-44.64,4.42,3,0,1,18,0
298,24.38,4779264.92,530501.88,-111795.425,-364.37,2,3,0,1,21,0
299,0.8,195581.23,70532.2,222409.2633,-112.33,1.25,3,-2,1,-4,0
300,18.38,3602602.65,82396.27,44015.435,-56.59,4.08,-1,1,-3,17,1
301,2.89,208366.32,-8277.91,222409.2633,3.53,1.92,3,-2,1,-4,0
302,13.3,2608246.1,45345.77,8659.925,-31.14,2.17,3,0,1,16,0
303,6.96,1704918.6,5746.47,3920.2,-9.15,5.08,3,1,1,17,1
304,12.96,3173353.71,-1764856.88,-266246.6,2810.71,5.33,3,0,1,15,1
305,324.45,79466867.22,2600776.69,684872.55,-4141.99,12.5,3,1,1,18,1
306,39.1,9576359.78,66096.11,1032.555,-105.26,12.75,3,0,1,18,1
307,1.68,236831.69,75675.95,0,-74.19,5.75,3,0,1,33,1
308,1.93,271943.4,-751177.57,0,736.45,7.67,3,0,1,18,1
309,1.74,426838.7,26838.7,0,-42.74,7.33,-1,0,-3,18,1
310,5.39,758341.18,-71286.2,5639.325,69.89,21.25,3,0,1,17,1
311,4.03,566371.66,-240180.93,9158.025,235.47,20,3,0,1,24,1
312,60.91,8570855.46,31359.33,240303.65,-30.74,18.75,3,1,1,17,1
313,108.2,59929595.38,2179406.03,317136.155,2179406.03,17,3,0,1,17,1
314,842.32,206306262.2,8071.8,639230.76,-12.86,11.58,3,1,1,17,1
315,32.9,18221054.95,72874.83,336730.725,72874.83,19.08,3,1,1,18,1
316,3.3,1826906.47,-99204.81,4911.255,-99204.81,7.83,3,1,1,17,1
317,1.03,94194.66,-6594.47,1380.78,6.25,4.58,3,1,1,21,1
318,1.74,965261.12,-15701.9,6990.325,-15701.9,9.67,3,1,1,21,1
319,0.86,87724.75,-13424.05,6800.575,16.19,18.08,3,0,1,18,1
320,0.48,93840.69,-254278.14,37463.885,174.65,8.83,3,0,1,17,1
321,244.26,47883968.65,430020.97,94708.025,-295.35,8.67,3,1,1,18,1
322,40.87,22635785.06,178216.25,245705.495,178216.25,7.75,3,1,1,17,1
323,3.04,745410,73292.4,0,-116.73,16.92,3,0,1,21,1
324,3.11,1723492.96,-1861893.36,116.285,-1861893.36,7.08,3,0,1,21,1
325,2.87,562243.48,-330179.96,9090.43,226.78,10.67,3,0,1,20,1
326,5.36,1313567.56,-95250.74,4307.875,151.7,14,3,1,1,17,1
327,41.63,10195344.16,46292.02,17706.375,-73.72,11.08,3,1,1,17,1
328,0.69,384105.29,-155748.16,3849.92,-155748.16,4.83,3,1,1,15,1
329,1.63,905427.66,4681.53,10390.605,4681.53,4.25,3,1,1,21,1
330,1.29,714479.47,-3368.38,4439.35,-3368.38,5.67,-1,0,-3,18,1
331,21.37,4188733.7,13912.41,124808.13,-9.56,4.17,3,1,1,17,1
332,13.26,2599308.27,68328.32,49606.23,-46.93,14,3,1,1,16,1
333,22.29,3135749.82,-500503.62,74946.155,490.69,14.42,3,1,1,21,1
334,400.13,56300847.43,153101.91,867050.845,-150.1,19,3,1,1,17,0
335,10.73,2103773.53,42367.93,48233.385,-29.1,5.5,3,1,1,18,1
336,148.29,20865944.43,9884.33,86790.69,-9.69,15.5,3,1,1,17,1
337,60.91,8570855.46,31359.33,240303.65,-30.74,18.75,3,1,1,17,1
338,6917.13,703506566.4,222023881.8,8583536.79,-267740.59,19,3,1,1,18,0
339,14.11,1985035.21,40624.3,19435.035,-39.83,6.08,3,1,1,14,1
340,34.5,3508890.29,37886.13,74501.81,-45.69,6.42,3,0,1,21,1
